cas number,iso-SMILES,canonical-SMILES
1256792-60-5,CC1=C(N=C(C=C1)C(=O)C)F,CC1=C(N=C(C=C1)C(=O)C)F
1197233-19-4,CC(=O)C1=CN=CC(=N1)C(F)(F)F,CC(=O)C1=CN=CC(=N1)C(F)(F)F
1402664-98-5,CC(=O)C1=NC=C(C=N1)C(F)(F)F,CC(=O)C1=NC=C(C=N1)C(F)(F)F
1060802-44-9,C1=CC(=NC=C1F)C(=O)C(F)(F)F,C1=CC(=NC=C1F)C(=O)C(F)(F)F
705947-14-4,CC1=CN=C(N1)C(=O)C2=CC(=CC=C2)F,CC1=CN=C(N1)C(=O)C2=CC(=CC=C2)F
1404489-43-5,C1=CN=C(C=C1Br)C(=O)CF,C1=CN=C(C=C1Br)C(=O)CF
1428881-34-8,C1=CC(=C(C(=C1)Br)F)C(=O)C2=NC=CS2,C1=CC(=C(C(=C1)Br)F)C(=O)C2=NC=CS2
1849624-95-8,C1=CC(=C(N=C1)C(=O)C2=C(C=CC(=C2)Cl)N)F,C1=CC(=C(N=C1)C(=O)C2=C(C=CC(=C2)Cl)N)F
2613382-85-5,C1=CC(=NC=C1Br)C(=O)CF,C1=CC(=NC=C1Br)C(=O)CF
69393-26-6,C1CC(C1)C(=O)C2=NC=CN2,C1CC(C1)C(=O)C2=NC=CN2
143359-17-5,CCOCC(=O)C1=CC=CC=N1,CCOCC(=O)C1=CC=CC=N1
188631-00-7,C1=CC(=CN=C1)C(=O)C2=NC=CN=C2,C1=CC(=CN=C1)C(=O)C2=NC=CN=C2
108665-59-4,CC(=O)C1=NC=C(O1)C2=CC=CC=C2,CC(=O)C1=NC=C(O1)C2=CC=CC=C2
30148-24-4,CN1C=CN=C1C(=O)C2=CC=NC=C2,CN1C=CN=C1C(=O)C2=CC=NC=C2
243668-26-0,CCN1C2=CC=CC=C2N=C1C(=O)C,CCN1C2=CC=CC=C2N=C1C(=O)C
1909306-35-9,CC1=CN=C(N1)C(=O)C2=NC=C(N2)C,CC1=CN=C(N1)C(=O)C2=NC=C(N2)C
1250445-92-1,CC(=O)C1=CC(=CC(=N1)C(=O)C)OC,CC(=O)C1=CC(=CC(=N1)C(=O)C)OC
1956366-93-0,C1=CN=C(C=N1)C(=O)C(F)(F)F.O,C1=CN=C(C=N1)C(=O)C(F)(F)F.O
1247473-86-4,CN1C=CN=C1C(=O)C2=CC(=CC=C2)F,CN1C=CN=C1C(=O)C2=CC(=CC=C2)F
18011-20-6,C1=CC=C(C=C1)C(=O)C2=NN(C=N2)C3=CC=CC=C3,C1=CC=C(C=C1)C(=O)C2=NN(C=N2)C3=CC=CC=C3
1368900-53-1,C1CC1C2=NC(=C3N2C=CC=C3)C(=O)C(F)(F)F,C1CC1C2=NC(=C3N2C=CC=C3)C(=O)C(F)(F)F
1521680-55-6,CC1=C(OC2=C1C=C(C=C2)F)C(=O)C3=CC=CC=N3,CC1=C(OC2=C1C=C(C=C2)F)C(=O)C3=CC=CC=N3
306977-47-9,CN(C)C1=C(N=CC(=C1)C(F)(F)F)C(=O)C2=CC=C(C=C2)Cl,CN(C)C1=C(N=CC(=C1)C(F)(F)F)C(=O)C2=CC=C(C=C2)Cl
216299-25-1,C1=CC(=NC(=C1)C(=O)CC(=O)C(F)(F)F)C(=O)CC(=O)C(F)(F)F,C1=CC(=NC(=C1)C(=O)CC(=O)C(F)(F)F)C(=O)CC(=O)C(F)(F)F
172286-77-0,C1=CC=C2C(=C1)C(=CN2)C(=O)C3=CN=C(N3)C(=O)C4=CNC5=C4C=CC(=C5)O,C1=CC=C2C(=C1)C(=CN2)C(=O)C3=CN=C(N3)C(=O)C4=CNC5=C4C=CC(=C5)O
6998-41-0,C1=CC=C(C=C1)OCC2=CSC(=N2)C(=O)C3=C(C4=CC=CC=C4S3)Cl,C1=CC=C(C=C1)OCC2=CSC(=N2)C(=O)C3=C(C4=CC=CC=C4S3)Cl
1566656-37-8,CN1C=CN=C1C(=O)C(F)F,CN1C=CN=C1C(=O)C(F)F
2357562-39-9,CC(C)N1C=CN=C1C(=O)C(F)F,CC(C)N1C=CN=C1C(=O)C(F)F
2413901-05-8,CC1=C(N=C(N1)C)C(=O)C(F)(F)F,CC1=C(N=C(N1)C)C(=O)C(F)(F)F
1600982-28-2,C1=CC(=C(N=C1)C(=O)C2=CC=C(C=C2)F)N,C1=CC(=C(N=C1)C(=O)C2=CC=C(C=C2)F)N
2090619-18-2,C1=CC(=NC(=C1)C(=O)O)C(=O)C(F)(F)F,C1=CC(=NC(=C1)C(=O)O)C(=O)C(F)(F)F
2567495-12-7,C1=C(C=NC(=C1F)C(=O)CF)Br,C1=C(C=NC(=C1F)C(=O)CF)Br
1995498-11-7,CN1C(=NC=N1)C(=O)CC2=C(C=C(C=C2)F)F,CN1C(=NC=N1)C(=O)CC2=C(C=C(C=C2)F)F
1823369-66-9,C1=C(SC(=N1)C(=O)C(F)(F)F)Br,C1=C(SC(=N1)C(=O)C(F)(F)F)Br
1261800-46-7,C1=CC=NC(=C1)C(=O)C2=CC(=C(C=C2)OC(F)F)N,C1=CC=NC(=C1)C(=O)C2=CC(=C(C=C2)OC(F)F)N
2379918-52-0,CS(=O)(=O)C1=NC(=C2N1C=C(C=C2Cl)C(F)(F)F)C(=O)C(F)(F)F,CS(=O)(=O)C1=NC(=C2N1C=C(C=C2Cl)C(F)(F)F)C(=O)C(F)(F)F
153334-25-9,CCN1C(=NC=N1)C(=O)C,CCN1C(=NC=N1)C(=O)C
153334-26-0,CC(C)N1C(=NC=N1)C(=O)C,CC(C)N1C(=NC=N1)C(=O)C
2694770-49-3,C1=CC(=C(N=C1)C(=O)/C=N/N)F,C1=CC(=C(N=C1)C(=O)C=NN)F
135450-44-1,CC(=O)C1=CC=CC(=N1)CCl,CC(=O)C1=CC=CC(=N1)CCl
329907-69-9,CN1C=CN=C1C(=O)C2=CN=CC=C2,CN1C=CN=C1C(=O)C2=CN=CC=C2
61698-27-9,CC(=O)C1=NN(C=N1)C2=CC=CC=C2,CC(=O)C1=NN(C=N1)C2=CC=CC=C2
62366-48-7,CN1C=CN=C1C(=O)C2=CC=CS2,CN1C=CN=C1C(=O)C2=CC=CS2
313968-01-3,C1=CC=C(C=C1)C(=O)C2=C(NC=N2)C(=O)O,C1=CC=C(C=C1)C(=O)C2=C(NC=N2)C(=O)O
374072-83-0,CC(=O)C1=CC(=CC(=N1)C(=O)C)C(C)(C)C,CC(=O)C1=CC(=CC(=N1)C(=O)C)C(C)(C)C
69195-91-1,C1=CC=C(C=C1)CN2C=NC(=C2N)C(=O)CN,C1=CC=C(C=C1)CN2C=NC(=C2N)C(=O)CN
94952-47-3,C1=CC(=NC=C1Cl)C(=O)CBr,C1=CC(=NC=C1Cl)C(=O)CBr
39264-32-9,CN1C=CN=C1C(=O)C2=C(C=CC(=C2)Cl)N,CN1C=CN=C1C(=O)C2=C(C=CC(=C2)Cl)N
2680536-77-8,CCOC(=O)C(=O)C1=NC(=CS1)C(F)(F)F,CCOC(=O)C(=O)C1=NC(=CS1)C(F)(F)F
2763754-92-1,CCOC(=O)C(=O)C1=NC=C(S1)C(F)(F)F,CCOC(=O)C(=O)C1=NC=C(S1)C(F)(F)F
80100-17-0,C1=CC=C(C=C1)C(=O)C2=NC(=CC=C2)Br,C1=CC=C(C=C1)C(=O)C2=NC(=CC=C2)Br
76275-88-2,COC(=O)C1=CSC(=N1)C(=O)CBr,COC(=O)C1=CSC(=N1)C(=O)CBr
2901084-62-4,CN1C=C(N=C1C(=O)C(F)(F)F)I,CN1C=C(N=C1C(=O)C(F)(F)F)I
102878-30-8,CCC(=O)C1=NC=CC(=C1)C,CCC(=O)C1=NC=CC(=C1)C
102878-26-2,CCC1=NC(=CC=C1)C(=O)C,CCC1=NC(=CC=C1)C(=O)C
1171935-72-0,CN1C=CN=C1C(=O)C2CC2,CN1C=CN=C1C(=O)C2CC2
138536-17-1,CC(C)C(=O)C1=NC=CN1C,CC(C)C(=O)C1=NC=CN1C
52540-23-5,C1=C(N=CS1)C(=O)CCl,C1=C(N=CS1)C(=O)CCl
952200-97-4,C1CCC(C1)C(=O)C2=NC=CN2,C1CCC(C1)C(=O)C2=NC=CN2
2682066-26-6,B(C1=CN=C(C=C1)C(=O)C)(O)O,B(C1=CN=C(C=C1)C(=O)C)(O)O
304467-37-6,CC(=O)C1=C(C=CC(=N1)Cl)N,CC(=O)C1=C(C=CC(=N1)Cl)N
1211513-13-1,CC(=O)C1=NC2=C(S1)CCCC2,CC(=O)C1=NC2=C(S1)CCCC2
149003-37-2,CC(=O)C1=NC2=C(C=CC=C2O)C=C1,CC(=O)C1=NC2=C(C=CC=C2O)C=C1
1260861-27-5,CCOC(=O)C(=O)C1=C(C=CC=N1)C,CCOC(=O)C(=O)C1=C(C=CC=N1)C
