cas number,iso-SMILES,canonical-SMILES
1416323-33-5,C1C(CO1)(C2=CC=C(C=C2)I)N.Cl,C1C(CO1)(C2=CC=C(C=C2)I)N.Cl
956358-25-1,CC1=NN(C(=O)C1(C)N)C2=CC=CC=C2,CC1=NN(C(=O)C1(C)N)C2=CC=CC=C2
604799-96-4,C1CC1(C2=CC=CC=C2Br)N,C1CC1(C2=CC=CC=C2Br)N
2442597-47-7,CC(C)(C1=C(C=NC=C1)F)N.Cl,CC(C)(C1=C(C=NC=C1)F)N.Cl
1380300-54-8,C1CC(CCC1(CC2=CC=CC=N2)N)(F)F.Cl.Cl,C1CC(CCC1(CC2=CC=CC=N2)N)(F)F.Cl.Cl
1538705-20-2,CCOC(=O)C1(CCC(C1)N2C=CN=C2)N,CCOC(=O)C1(CCC(C1)N2C=CN=C2)N
27473-62-7,C1C2=CC=CC=C2CC1(C(=O)O)N,C1C2=CC=CC=C2CC1(C(=O)O)N
2253632-53-8,C1CC2(CC1OC2)N.Cl,C1CC2(CC1OC2)N.Cl
2060037-01-4,C1CC(C1)(C(F)F)N.Cl,C1CC(C1)(C(F)F)N.Cl
1385696-28-5,C1COCCC1(C2=CC=CC=C2C(F)(F)F)N,C1COCCC1(C2=CC=CC=C2C(F)(F)F)N
1249644-74-3,CCOC(=O)C(C)(CCN1C=C(C=N1)Cl)N,CCOC(=O)C(C)(CCN1C=C(C=N1)Cl)N
1512130-91-4,COC(=O)CC1(CCOC1)N,COC(=O)CC1(CCOC1)N
1249123-28-1,C1CC(C1)(C2=CC(=CC(=C2)F)F)N,C1CC(C1)(C2=CC(=CC(=C2)F)F)N
312-44-7,CC(C1=CC=C(C=C1)F)(C(=O)O)N,CC(C1=CC=C(C=C1)F)(C(=O)O)N
313643-39-9,C1CN2CCC1C(C2)(C(=O)O)N,C1CN2CCC1C(C2)(C(=O)O)N
1864016-48-7,CC(C)OCCC1(CC1)N.Cl,CC(C)OCCC1(CC1)N.Cl
1250515-16-2,CC(C)(CCS(=O)(=O)C)N,CC(C)(CCS(=O)(=O)C)N
1487423-18-6,C1CC1(CCC2=CC=CC=C2[N+](=O)[O-])N,C1CC1(CCC2=CC=CC=C2[N+](=O)[O-])N
1439896-38-4,C1CC(C1)(CC2=CC(=CC=C2)F)N.Cl,C1CC(C1)(CC2=CC(=CC=C2)F)N.Cl
18110-40-2,CC(CO)(C1=CC=CC=C1)N.Cl,CC(CO)(C1=CC=CC=C1)N.Cl
1240529-10-5,C1CC(CCC1(C(=O)O)N)(F)F,C1CC(CCC1(C(=O)O)N)(F)F
1247706-03-1,CC1=NC=CN1CC(C)(C(=O)OC)N,CC1=NC=CN1CC(C)(C(=O)OC)N
1260797-84-9,C1CC1(C2=CC(=C(C=C2)C(F)(F)F)F)N,C1CC1(C2=CC(=C(C=C2)C(F)(F)F)F)N
